Local time,Open,High,Low,Close,Volume
11.01.2024 12:30:00.000 GMT+0330,37797.589,37799.799,37730.029,37739.009,0.0984
11.01.2024 13:30:00.000 GMT+0330,37739.599,37747.089,37682.519,37694.569,0.0786
11.01.2024 14:30:00.000 GMT+0330,37694.069,37736.589,37692.509,37698.089,0.0789
11.01.2024 15:30:00.000 GMT+0330,37698.017,37719.579,37674.549,37703.569,0.4807
11.01.2024 16:30:00.000 GMT+0330,37703.069,37790.579,37588.049,37623.569,1.396
11.01.2024 17:30:00.000 GMT+0330,37623.079,37800.209,37581.759,37613.239,2.0257
11.01.2024 18:30:00.000 GMT+0330,37612.229,37626.209,37434.239,37494.199,2.538
11.01.2024 19:30:00.000 GMT+0330,37493.499,37516.749,37417.999,37440.249,2.1101
11.01.2024 20:30:00.000 GMT+0330,37439.699,37562.749,37434.759,37545.289,1.5274
11.01.2024 21:30:00.000 GMT+0330,37545.277,37653.759,37541.729,37648.769,1.4647
11.01.2024 22:30:00.000 GMT+0330,37649.209,37741.279,37623.269,37731.709,1.4237
11.01.2024 23:30:00.000 GMT+0330,37732.299,37739.709,37649.759,37713.239,1.6916
12.01.2024 00:30:00.000 GMT+0330,37711.209,37714.499,37694.279,37705.789,0.164
12.01.2024 01:30:00.000 GMT+0330,37705.789,37705.789,37705.789,37705.789,0
12.01.2024 02:30:00.000 GMT+0330,37702.279,37716.779,37690.279,37707.209,0.0528
12.01.2024 03:30:00.000 GMT+0330,37707.297,37722.789,37676.719,37683.709,0.1242
12.01.2024 04:30:00.000 GMT+0330,37684.259,37697.999,37665.739,37690.199,0.1164
12.01.2024 05:30:00.000 GMT+0330,37690.759,37718.759,37688.739,37711.239,0.0833
12.01.2024 06:30:00.000 GMT+0330,37711.749,37713.779,37700.739,37701.769,0.051
12.01.2024 07:30:00.000 GMT+0330,37702.289,37702.789,37665.729,37685.799,0.0558
12.01.2024 08:30:00.000 GMT+0330,37686.279,37703.499,37682.259,37683.219,0.0882
12.01.2024 09:30:00.000 GMT+0330,37683.749,37701.789,37681.269,37700.219,0.065
12.01.2024 10:30:00.000 GMT+0330,37700.769,37708.269,37641.249,37642.209,0.0954
12.01.2024 11:30:00.000 GMT+0330,37641.799,37790.069,37641.799,37773.539,0.1658
12.01.2024 12:30:00.000 GMT+0330,37773.029,37798.579,37751.999,37755.039,0.121
12.01.2024 13:30:00.000 GMT+0330,37756.299,37791.299,37683.029,37700.049,0.1246
12.01.2024 14:30:00.000 GMT+0330,37700.519,37737.509,37444.509,37515.089,0.147
12.01.2024 15:30:00.000 GMT+0330,37515.529,37585.299,37515.529,37546.009,0.711
12.01.2024 16:30:00.000 GMT+0330,37546.579,37633.547,37518.519,37622.039,1.2069
12.01.2024 17:30:00.000 GMT+0330,37622.007,37825.759,37609.529,37638.499,1.6818
12.01.2024 18:30:00.000 GMT+0330,37638.999,37653.709,37466.249,37501.269,2.4668
12.01.2024 19:30:00.000 GMT+0330,37499.229,37566.279,37478.299,37513.709,1.903
12.01.2024 20:30:00.000 GMT+0330,37515.229,37564.289,37487.269,37539.709,1.5759
12.01.2024 21:30:00.000 GMT+0330,37542.279,37613.499,37540.759,37605.259,1.1659
12.01.2024 22:30:00.000 GMT+0330,37603.729,37634.299,37542.779,37551.299,1.1939
12.01.2024 23:30:00.000 GMT+0330,37549.779,37607.209,37531.779,37589.739,1.3774
13.01.2024 00:30:00.000 GMT+0330,37589.777,37592.497,37561.229,37565.759,0.1822
13.01.2024 01:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 02:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 03:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 04:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 05:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 06:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 07:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 08:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 09:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 10:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 11:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
13.01.2024 12:30:00.000 GMT+0330,37565.759,37565.759,37565.759,37565.759,0
